Sun Jun 27 21:50:15 2021    cprofile.prof

         15545163 function calls (14716914 primitive calls) in 21.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       77    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
       52    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      342    0.000    0.000    0.000    0.000 markers.py:283(get_joinstyle)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
       19    0.000    0.000    0.000    0.000 _pylab_helpers.py:105(get_active)
       16    0.000    0.000    0.000    0.000 __init__.py:1718(sanitize_sequence)
       10    0.000    0.000    0.000    0.000 _base.py:2897(<listcomp>)
        1    0.000    0.000    0.000    0.000 axis.py:2264(YAxis)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
      342    0.000    0.000    0.000    0.000 lines.py:891(get_drawstyle)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(take)
       40    0.000    0.000    0.000    0.000 transforms.py:1817(is_separable)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _base.py:323(_getdefaults)
        1    0.000    0.000    0.000    0.000 dataclasses.py:861(<listcomp>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:194(LogTransform)
      213    0.000    0.000    0.000    0.000 axis.py:562(locator)
      638    0.000    0.000    0.000    0.000 font_manager.py:1173(score_variant)
        7    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
       20    0.000    0.000    0.000    0.000 transforms.py:1702(_set)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
      120    0.000    0.000    0.000    0.000 utils.py:60(__format__)
      145    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        6    0.000    0.000    0.000    0.000 figure.py:468(set_edgecolor)
        1    0.000    0.000    0.000    0.000 transforms.py:1128(LockableBbox)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:57(bitname)
       47    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
        1    0.000    0.000    0.000    0.000 datetime.py:1558(datetime)
       14    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 deprecation.py:518(suppress_matplotlib_deprecation_warning)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       37    0.000    0.000    0.000    0.000 rcsetup.py:547(_validate_linestyle)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        9    0.000    0.000    0.000    0.000 _layoutgrid.py:213(grid_constraints)
        4    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       92    0.000    0.000    0.000    0.000 patches.py:297(get_edgecolor)
       35    0.000    0.000    0.000    0.000 pathlib.py:690(_from_parsed_parts)
       10    0.000    0.000    0.000    0.000 version.py:302(__init__)
        1    0.000    0.000    0.000    0.000 emitter.py:392(expect_first_block_mapping_key)
        1    0.000    0.000    0.000    0.000 animation.py:521(PillowWriter)
        5    0.000    0.000    0.000    0.000 _base.py:1569(set_box_aspect)
        1    0.000    0.000    0.000    0.000 scale.py:497(LogitTransform)
        1    0.000    0.000    0.000    0.000 threading.py:270(wait)
        1    0.000    0.000    0.000    0.000 transforms.py:2073(IdentityTransform)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
       10    0.000    0.000    0.000    0.000 rcsetup.py:406(_validate_cmap)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:2061(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      212    0.000    0.000    0.000    0.000 transforms.py:1310(<genexpr>)
       18    0.000    0.000    0.000    0.000 argparse.py:1398(_add_action)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:844(sort)
        3    0.000    0.000    0.000    0.000 patches.py:1930(<listcomp>)
       30    0.000    0.000    0.000    0.000 enum.py:338(__getattr__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        5    0.000    0.000    0.000    0.000 transforms.py:815(null)
      342    0.000    0.000    0.000    0.000 markers.py:337(get_path)
        1    0.000    0.000    0.000    0.000 backend_agg.py:66(RendererAgg)
        1    0.000    0.000    0.000    0.000 patches.py:3108(CurveB)
        5    0.000    0.000    0.000    0.000 figure.py:82(bubble)
        1    0.000    0.000    0.000    0.000 _parser.py:575(__init__)
       72    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
      345    0.000    0.000    0.000    0.000 backend_bases.py:655(flipy)
        1    0.000    0.000    0.000    0.000 __init__.py:3146(Listbox)
        2    0.000    0.000    0.000    0.000 reader.py:177(update_raw)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1577(addCondition)
      132    0.000    0.000    0.000    0.000 __init__.py:1872(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4775(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
       30    0.000    0.000    0.000    0.000 enum.py:153(<dictcomp>)
      759    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       32    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:396(_joinrealpath)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
       10    0.000    0.000    0.000    0.000 version.py:307(parse)
       60    0.000    0.000    0.000    0.000 ticker.py:1884(__call__)
       17    0.000    0.000    0.000    0.000 RBF.py:134(add_hidden_unit)
        1    0.000    0.000    0.000    0.000 scale.py:253(LogScale)
        1    0.000    0.000    0.000    0.000 geo.py:252(AitoffAxes)
       68    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.000    0.000 art3d.py:408(Patch3DCollection)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
       18    0.000    0.000    0.000    0.000 artist.py:737(set_clip_box)
       17    0.000    0.000    0.000    0.000 rcsetup.py:207(validate_axisbelow)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      3/2    0.000    0.000    0.000    0.000 typing.py:347(__getitem__)
       10    0.000    0.000    0.000    0.000 _base.py:221(__init__)
        8    0.000    0.000    0.000    0.000 gridspec.py:33(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:1280(mkdir)
       36    0.000    0.000    0.000    0.000 transforms.py:2391(transform_path_non_affine)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        2    0.000    0.000    0.000    0.000 threading.py:761(__init__)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 ticker.py:1731(raise_if_exceeds)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 parser.py:62(<module>)
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       30    0.000    0.000    0.000    0.000 axis.py:1844(<listcomp>)
       28    0.000    0.000    0.000    0.000 patches.py:492(set_joinstyle)
       51    0.000    0.000    0.000    0.000 rcsetup.py:431(validate_fontsize)
        1    0.000    0.000    0.000    0.000 pyparsing.py:288(conditionAsParseAction)
        1    0.000    0.000    0.000    0.000 art3d.py:332(Patch3D)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
       46    0.000    0.000    0.000    0.000 deprecation.py:230(finalize)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
        9    0.000    0.000    0.000    0.000 figure.py:2395(set_constrained_layout_pads)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1860(resetCache)
        8    0.000    0.000    0.000    0.000 pyparsing.py:5707(<genexpr>)
        1    0.000    0.000    0.000    0.000 art3d.py:503(Path3DCollection)
        5    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 colorbar.py:1158(Colorbar)
       18    0.000    0.000    0.000    0.000 argparse.py:586(_format_args)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.000    0.000 art3d.py:359(PathPatch3D)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1452(setName)
       11    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
       44    0.000    0.000    0.000    0.000 docstring.py:43(update)
        1    0.000    0.000    0.000    0.000 patches.py:1596(Arc)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 quiver.py:437(Quiver)
        7    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 scale.py:421(SymmetricalLogScale)
      342    0.000    0.000    0.000    0.000 markers.py:289(get_marker)
      111    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       22    0.000    0.000    0.000    0.000 scanner.py:295(save_possible_simple_key)
        1    0.000    0.000    0.000    0.000 art3d.py:676(Poly3DCollection)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5705(<lambda>)
        6    0.000    0.000    0.000    0.000 locale.py:384(normalize)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 numeric.py:2137(identity)
        2    0.000    0.000    0.000    0.000 argparse.py:1388(add_argument_group)
      255    0.000    0.000    0.000    0.000 rcsetup.py:56(func)
      122    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
        1    0.000    0.000    0.000    0.000 polar.py:225(ThetaLocator)
        2    0.000    0.000    0.000    0.000 core.py:2969(__array_finalize__)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       30    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:135(Button)
       81    0.000    0.000    0.000    0.000 pathlib.py:1048(_init)
       46    0.000    0.000    0.000    0.000 deprecation.py:208(_deprecated_property)
       39    0.000    0.000    0.000    0.000 __init__.py:2564(<listcomp>)
        1    0.000    0.000    0.000    0.000 polar.py:407(RadialLocator)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
      197    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        3    0.000    0.000    0.000    0.000 patches.py:1923(<listcomp>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:94(take)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2599(__hash__)
        8    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 pyparsing.py:3707(__init__)
       11    0.000    0.000    0.000    0.000 text.py:1096(set_fontweight)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
     35/1    0.000    0.000    0.000    0.000 serializer.py:60(anchor_node)
        5    0.000    0.000    0.000    0.000 gridspec.py:227(__getitem__)
        1    0.000    0.000    0.000    0.000 widgets.py:811(CheckButtons)
       27    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       12    0.000    0.000    0.000    0.000 __init__.py:1942(get_aliased_and_aliases)
      165    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 dialog.py:3(<module>)
       31    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 widgets.py:310(Slider)
       14    0.000    0.000    0.000    0.000 deprecation.py:37(_generate_deprecation_warning)
      101    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
       10    0.000    0.000    0.000    0.000 transforms.py:1686(_init)
       10    0.000    0.000    0.000    0.000 _base.py:234(set_prop_cycle)
        5    0.000    0.000    0.000    0.000 argparse.py:1856(take_action)
        2    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
       44    0.000    0.000    0.000    0.000 scanner.py:1416(scan_line_break)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
      126    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        5    0.000    0.000    0.000    0.000 pathlib.py:1401(is_dir)
        4    0.000    0.000    0.000    0.000 ticker.py:2283(view_limits)
       75    0.000    0.000    0.000    0.000 ticker.py:1858(tick_values)
        1    0.000    0.000    0.000    0.000 backend_bases.py:748(GraphicsContextBase)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       28    0.000    0.000    0.000    0.000 hatch.py:189(_validate_hatch_pattern)
        2    0.000    0.000    0.000    0.000 argparse.py:1567(__init__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2450(setWhitespaceChars)
       12    0.000    0.000    0.000    0.000 axis.py:1333(get_major_formatter)
        1    0.000    0.000    0.000    0.000 dumper.py:47(__init__)
       20    0.000    0.000    0.000    0.000 representer.py:147(represent_str)
       18    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        3    0.000    0.000    0.000    0.000 cm.py:437(set_norm)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2896(parseImpl)
        1    0.000    0.000    0.000    0.000 ast.py:51(literal_eval)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4283(<genexpr>)
       16    0.000    0.000    0.000    0.000 core.py:666(getdata)
      145    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
        3    0.000    0.000    0.000    0.000 __init__.py:2816(delete)
        1    0.000    0.000    0.000    0.000 dates.py:582(DateFormatter)
      133    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
        1    0.000    0.000    0.000    0.000 transforms.py:235(BboxBase)
        1    0.000    0.000    0.000    0.000 geo.py:298(HammerAxes)
        1    0.000    0.000    0.000    0.000 core.py:2813(__new__)
       15    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1592(DraggableBase)
       16    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.000    0.000 scale.py:523(LogisticTransform)
       71    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3197(parseImpl)
        1    0.000    0.000    0.000    0.000 _enums.py:44(JoinStyle)
       57    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1074(wait)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 pyplot.py:2015(colormaps)
       18    0.000    0.000    0.000    0.000 __init__.py:634(push)
        6    0.000    0.000    0.000    0.000 ticker.py:1846(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 widgets.py:1222(RadioButtons)
        1    0.000    0.000    0.000    0.000 inspect.py:2416(_ParameterKind)
        9    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 __init__.py:327(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       35    0.000    0.000    0.000    0.000 representer.py:136(ignore_aliases)
        1    0.000    0.000    0.000    0.000 core.py:3118(view)
        1    0.000    0.000    0.000    0.000 colors.py:87(__init__)
        3    0.000    0.000    0.000    0.000 pyplot.py:838(get_figlabels)
      245    0.000    0.000    0.000    0.000 scanner.py:264(next_possible_simple_key)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        3    0.000    0.000    0.000    0.000 __init__.py:1221(winfo_toplevel)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        3    0.000    0.000    0.000    0.000 Image.py:431(_getencoder)
        1    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 typing.py:1951(TextIO)
       63    0.000    0.000    0.000    0.000 reader.py:94(prefix)
      134    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:436(_calc_mode)
        1    0.000    0.000    0.000    0.000 __init__.py:402(_get_xdg_cache_dir)
        9    0.000    0.000    0.000    0.000 _layoutgrid.py:77(<listcomp>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        6    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
      201    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        6    0.000    0.000    0.000    0.000 backend_agg.py:107(_update_methods)
       34    0.000    0.000    0.000    0.000 representer.py:77(represent_scalar)
        2    0.000    0.000    0.000    0.000 function_base.py:4310(delete)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2367(__invert__)
        1    0.000    0.000    0.000    0.000 docstring.py:6(Substitution)
        1    0.000    0.000    0.000    0.000 os.py:613(get_exec_path)
        1    0.000    0.000    0.000    0.000 animation.py:241(MovieWriter)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5454(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        7    0.000    0.000    0.000    0.000 textpath.py:24(__init__)
        3    0.000    0.000    0.000    0.000 figure.py:124(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       15    0.000    0.000    0.000    0.000 rcsetup.py:82(_listify_validator)
       35    0.000    0.000    0.000    0.000 emitter.py:146(increase_indent)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        6    0.000    0.000    0.000    0.000 _backend_tk.py:474(set_window_title)
        3    0.000    0.000    0.000    0.000 axis.py:1174(<listcomp>)
      188    0.000    0.000    0.000    0.000 axis.py:392(<dictcomp>)
        1    0.000    0.000    0.000    0.000 contour.py:641(ContourSet)
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6857(pyparsing_test)
        2    0.000    0.000    0.000    0.000 subprocess.py:1772(_wait)
      117    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      120    0.000    0.000    0.000    0.000 fromnumeric.py:2514(_ptp_dispatcher)
      188    0.000    0.000    0.000    0.000 axis.py:379(<dictcomp>)
       13    0.000    0.000    0.000    0.000 overrides.py:28(set_array_function_like_doc)
       96    0.000    0.000    0.000    0.000 inspect.py:2234(<lambda>)
        1    0.000    0.000    0.000    0.000 patches.py:1291(FancyArrow)
        4    0.000    0.000    0.000    0.000 std.py:1283(fp_write)
        4    0.000    0.000    0.000    0.000 ssl.py:451(__new__)
       26    0.000    0.000    0.000    0.000 scanner.py:125(peek_token)
       13    0.000    0.000    0.000    0.000 mathtext.py:423(__init__)
      188    0.000    0.000    0.000    0.000 axis.py:397(<dictcomp>)
       31    0.000    0.000    0.000    0.000 patches.py:313(set_antialiased)
       80    0.000    0.000    0.000    0.000 error.py:6(__init__)
        4    0.000    0.000    0.000    0.000 pyplot.py:304(_warn_if_gui_out_of_main_thread)
        1    0.000    0.000    0.000    0.000 patches.py:709(Rectangle)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        4    0.000    0.000    0.000    0.000 pyparsing.py:4650(__init__)
        1    0.000    0.000    0.000    0.000 trirefine.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        5    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        5    0.000    0.000    0.000    0.000 pathlib.py:1192(stat)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        8    0.000    0.000    0.000    0.000 deprecation.py:453(<listcomp>)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:1(<module>)
       56    0.000    0.000    0.000    0.000 events.py:65(__init__)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4506(__str__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:590(_register_types)
        5    0.000    0.000    0.000    0.000 version.py:51(__lt__)
       72    0.000    0.000    0.000    0.000 {method 'suggestValue' of 'kiwisolver.Solver' objects}
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       80    0.000    0.000    0.000    0.000 ticker.py:566(set_useOffset)
      106    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:611(Misc)
       40    0.000    0.000    0.000    0.000 spines.py:585(__len__)
        1    0.000    0.000    0.000    0.000 widgets.py:90(AxesWidget)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1932(_MathStyle)
        1    0.000    0.000    0.000    0.000 RBF.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:1377(_tzparser)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:642(_register_basic)
        1    0.000    0.000    0.000    0.000 animation.py:793(HTMLWriter)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
       32    0.000    0.000    0.000    0.000 axis.py:738(get_scale)
        3    0.000    0.000    0.000    0.000 __init__.py:495(__init__)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
       20    0.000    0.000    0.000    0.000 npyio.py:1349(write_normal)
        1    0.000    0.000    0.000    0.000 text.py:106(Text)
        8    0.000    0.000    0.000    0.000 std.py:112(__enter__)
       80    0.000    0.000    0.000    0.000 ticker.py:645(set_useMathText)
        1    0.000    0.000    0.000    0.000 table.py:30(Cell)
    32/16    0.000    0.000    0.000    0.000 transforms.py:2368(<lambda>)
       27    0.000    0.000    0.000    0.000 pathlib.py:803(name)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       56    0.000    0.000    0.000    0.000 __init__.py:108(__hash__)
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 typing.py:1937(BinaryIO)
       30    0.000    0.000    0.000    0.000 axis.py:1325(get_major_locator)
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
       38    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        4    0.000    0.000    0.000    0.000 npyio.py:1340(write)
       48    0.000    0.000    0.000    0.000 _base.py:2836(<genexpr>)
        3    0.000    0.000    0.000    0.000 figure.py:1872(_set_artist_props)
        1    0.000    0.000    0.000    0.000 patches.py:939(StepPatch)
       45    0.000    0.000    0.000    0.000 spines.py:582(__iter__)
        5    0.000    0.000    0.000    0.000 __init__.py:664(bubble)
        1    0.000    0.000    0.000    0.000 gui.py:1(<module>)
       31    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:350(_replace_encoding)
       15    0.000    0.000    0.000    0.000 figure.py:233(<lambda>)
        7    0.000    0.000    0.000    0.000 pathlib.py:373(gethomedir)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1351(ParserElement)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 patches.py:1420(Ellipse)
       56    0.000    0.000    0.000    0.000 patches.py:1946(_register_style)
        1    0.000    0.000    0.000    0.000 linalg.py:73(_determine_error_states)
        1    0.000    0.000    0.000    0.000 core.py:6453(__array_finalize__)
       15    0.000    0.000    0.000    0.000 argparse.py:851(__init__)
        1    0.000    0.000    0.000    0.000 std.py:248(tqdm)
        1    0.000    0.000    0.000    0.000 parser.py:422(parse_block_mapping_first_key)
        3    0.000    0.000    0.000    0.000 rcsetup.py:511(validate_whiskers)
       29    0.000    0.000    0.000    0.000 inspect.py:1838(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:163(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.000    0.000 emitter.py:214(expect_document_end)
       27    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
      136    0.000    0.000    0.000    0.000 axis.py:149(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        5    0.000    0.000    0.000    0.000 six.py:91(__get__)
        5    0.000    0.000    0.000    0.000 uuid.py:132(__init__)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3144(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:862(RegularPolygon)
        9    0.000    0.000    0.000    0.000 re.py:325(_subx)
        3    0.000    0.000    0.000    0.000 figure.py:2814(add_axobserver)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1388(MouseButton)
        4    0.000    0.000    0.000    0.000 npyio.py:1352(first_write)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
       72    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:2358(_get_values)
        2    0.000    0.000    0.000    0.000 core.py:6629(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
        5    0.000    0.000    0.000    0.000 spines.py:539(from_dict)
      112    0.000    0.000    0.000    0.000 patches.py:1930(<genexpr>)
      144    0.000    0.000    0.000    0.000 pyparsing.py:4026(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3774(__init__)
